Id	species	Syp/allo	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26
CAS37920	magnirostris	Allopatry	-0.059013531	0.059731878	-0.01672563	0.002341249	0.004338592	-8.33E-04	0.00199465	-0.002633653	0.004147554	-0.001384654	-1.58E-04	0.008041664	-0.004962813	0.009829332	0.001340765	0.002522897	8.14E-04	-0.001207745	-2.75E-04	-5.24E-04	-0.001246301	5.09E-04	-5.95E-04	2.10E-04	-0.002657307	-0.001880656
CAS37921	magnirostris	Allopatry	-0.01764882	0.037503706	0.002012996	0.010008307	-0.00748582	-4.05E-04	5.88E-04	0.005434311	9.56E-04	0.007046142	-0.004364945	0.003020495	0.005355932	-0.004016814	0.001283981	-9.01E-04	-0.001490183	-0.0042059	-6.03E-04	-3.16E-04	-0.003761336	0.00217975	-2.86E-04	0.001892281	0.001384065	0.001507767
CAS37922	magnirostris	Allopatry	0.003046478	0.051807052	0.024116978	0.014033955	0.003898769	-0.006930992	-0.002680381	0.016171959	-0.00595061	0.007975812	-0.001237455	0.003576268	9.00E-04	0.006293355	-0.003821279	-0.001608514	-0.002946743	-0.002324579	4.56E-04	-3.77E-04	9.82E-04	-2.08E-04	0.002055891	0.001475807	-0.001060428	-4.51E-04
CAS37932	magnirostris	Sympatry	-0.049542806	0.054355074	0.008518372	-0.001410495	-0.009017743	2.10E-04	0.012397841	0.001784906	0.010586127	-0.001664743	-5.99E-04	0.006308038	0.002482619	-0.002397488	-0.004388295	-0.002731525	0.001518674	-0.007973328	6.15E-04	0.002569361	9.35E-04	-3.71E-05	0.003021018	4.20E-04	4.59E-04	-0.002413936
CAS37933	magnirostris	Sympatry	-0.006131065	0.003130817	-0.035695715	-0.012796781	-0.01574971	0.001073889	0.014391288	-0.003858233	-0.003336335	-0.003709339	0.007054683	0.001821654	0.007093915	0.004959397	0.001570075	-0.00171423	0.001476159	-0.003227332	-0.004062015	0.001479136	0.001023278	-3.31E-04	-0.002305783	0.001674155	0.001689452	-0.003688171
CAS37952	fortis	Sympatry	0.058031443	0.032430196	0.014856543	0.008663555	-0.015715977	-0.002076843	-0.002257272	0.007930232	0.00541422	0.003027813	-2.39E-05	-0.002035256	-0.007227764	0.00377729	-0.008115541	0.005930743	0.002178711	-1.45E-04	0.005111748	6.58E-04	1.61E-04	-0.001508214	-0.003163595	-0.001891375	0.001090268	0.00212878
CAS37956	fortis	Sympatry	0.040390063	-0.008052312	-0.010732008	0.006426298	0.022568705	-0.007815835	-0.001533975	-0.012546459	0.006200499	-0.009992429	-0.002310497	0.009613799	0.004755034	-0.001445406	-0.005393931	0.002273386	-0.001490097	0.007653077	-0.003657658	8.51E-04	0.004554031	-0.001990439	-0.001863436	-6.38E-04	-7.10E-05	-0.001317993
CAS5095	fortis	Allopatry	0.036695828	-0.021167565	-0.035744704	-0.008803621	-0.013045207	0.007398982	-0.005150378	-0.004236641	0.010322763	-0.001409564	0.00523408	-0.003232213	0.004391834	-0.001309482	0.005311784	0.002738128	0.00127602	0.002194495	0.001121424	-0.003555373	-3.14E-04	-3.12E-04	-0.002457217	-8.36E-04	-0.001450944	-9.52E-04
CAS5100	magnirostris	Sympatry	0.07170179	-1.24E-04	8.46E-04	0.009956565	-0.013424483	0.009280832	-0.001319934	-0.003869673	-0.012652526	-0.002884604	-0.002881797	-0.006677204	0.002205061	-0.004474463	0.003670739	-0.001003695	-0.001438687	5.89E-04	-0.002191541	2.22E-04	-0.003281701	0.001542501	0.001278529	-0.001204986	0.001639712	-0.001298123
CAS5101	magnirostris	Allopatry	-0.073856937	0.082437586	0.009247792	-0.006231306	0.010849201	0.015319332	7.81E-05	0.014445951	-0.008761444	0.009970082	0.00326425	0.002581492	0.003512357	2.08E-04	-0.001868964	-0.004641048	0.002137666	-3.51E-04	-0.003367206	-3.43E-04	0.001143914	0.001220844	-1.02E-04	0.002020677	0.001186758	1.82E-04
